input_file,solver,solved,time,node_expanded,memory
input-01.txt,A* Search,True,0.021038699997006916,15,0.0336456298828125
input-02.txt,A* Search,True,0.02603319999980158,16,0.01966094970703125
input-03.txt,A* Search,True,0.1143910999999207,31,0.063751220703125
input-04.txt,A* Search,True,0.08181939999849419,24,0.036590576171875
input-05.txt,A* Search,True,1.036756499997864,126,0.17420196533203125
input-06.txt,A* Search,True,0.23868679999941378,40,0.0770416259765625
input-07.txt,A* Search,True,9.31337259999782,776,0.9646682739257812
input-08.txt,A* Search,True,1.4340937999986636,108,0.1307373046875
input-09.txt,A* Search,True,0.484338199999911,36,0.172393798828125
input-10.txt,A* Search,True,0.5130804000000353,40,0.14292144775390625
input-01.txt,Backtracking,True,0.005094699998153374,185,0.05341815948486328
input-01.txt,Backtracking,True,0.004010999997262843,185,0.012661933898925781
input-01.txt,Backtracking,True,0.006201099997269921,185,0.05354022979736328
input-01.txt,Backtracking,True,0.003840200006379746,185,0.05395221710205078
input-02.txt,Backtracking,True,0.005368199999793433,139,0.011868476867675781
input-01.txt,Backtracking,True,0.0066221000015502796,185,0.05350971221923828
input-01.txt,Backtracking,True,0.0029847999976482242,185,0.04467010498046875
input-02.txt,Backtracking,True,0.0016685000009601936,139,0.0028228759765625
input-01.txt,Backtracking,True,0.0023210999934235588,185,0.0037994384765625
